trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.8, 'e': 0.6622340137977137}",20,8,-41.87162798997869,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.656972752419945}",20,9,-68.0174310970044,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
123,False,"{'a': 0.8, 'e': 0.6516792995087568}",20,13,7.9997959442110655,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.6463539144422825}",20,2,3.1902657290718976,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.6409968581633251}",20,3,-27.835055797347735,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.6356083931665703}",25,0,-148.0051960604925,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
127,False,"{'a': 0.8, 'e': 0.6301887834857247}",20,16,6.042254647230829,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.6247382946805784}",25,0,-108.65956392909506,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
129,False,"{'a': 0.8, 'e': 0.6192571938239922}",20,8,-44.98449897006667,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.8, 'e': 0.6137457494888116}",20,0,-65.82111464384454,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
131,False,"{'a': 0.8, 'e': 0.608204231734706}",25,0,-124.25794774040384,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.8, 'e': 0.6026329120949367}",25,3,-24.88518633942263,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.8, 'e': 0.5970320635630515}",25,0,-131.57868965375027,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
134,False,"{'a': 0.8, 'e': 0.5914019605795077}",25,7,18.329025393949028,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.5857428790182249}",20,6,-21.651379902084535,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.5800550961730674}",25,0,-11.808245579814017,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.8, 'e': 0.5743388907442566}",25,0,-58.77307478214145,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
138,False,"{'a': 0.8, 'e': 0.5685945428247148}",20,13,-19.93124476161452,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.5628223338863407}",20,13,3.293683280417112,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.5570225467662173}",25,18,-29.201285135587206,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.8, 'e': 0.5511954656527531}",25,3,-13.10080150118266,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.5453413760717568}",20,10,-35.27289412028473,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.8, 'e': 0.5394605648724464}",30,0,-42.45841687121181,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.8, 'e': 0.5335533202133944}",25,18,-9.354540651282782,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.5276199315484067}",20,0,-81.21814511116357,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
146,False,"{'a': 0.8, 'e': 0.521660689612341}",20,0,-19.576359650053533,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
147,False,"{'a': 0.8, 'e': 0.5156758864068598}",20,8,-23.547128799150457,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.8, 'e': 0.5096658151861225}",20,0,-8.344230687140179,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.8, 'e': 0.5036307704424167}",20,0,-6.262499075367209,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
150,False,"{'a': 0.8, 'e': 0.49757104789172696}",20,0,-85.27931274828973,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
151,False,"{'a': 0.8, 'e': 0.49148694445924623}",30,21,5.693289627693154,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.8, 'e': 0.485378758264825}",20,0,-66.82267856879503,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
153,False,"{'a': 0.8, 'e': 0.47924678860836506}",30,21,-3.862274671665909,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
